"month","ftd","cpa"
"1/1/2022","1","26811"
"3/1/2022","4","15773"
"4/1/2022","4","13360"
"5/1/2022","3","9117"
"6/1/2022","5","11219"
"7/1/2022","11","13866"
"8/1/2022","4","12623"
"9/1/2022","9","14409"
"10/1/2022","5","19091"
"11/1/2022","13","16883"
"12/1/2022","8","19074"
"1/1/2023","16","14759"
"2/1/2023","9","15798"
"3/1/2023","8","16319"
"4/1/2023","15","16954"
"5/1/2023","14","13655"
"6/1/2023","16","16057"
"7/1/2023","13","15658"
"8/1/2023","15","18587"
"9/1/2023","21","19346"
"10/1/2023","17","14181"
"11/1/2023","26","12400"
"12/1/2023","26","15887"
